test_name,missing_dep_info,num_runs_with_v,num_runs_total,num_match,num_not_match
com.alibaba.json.bvt.bug.Issue_717.test_for_issue,0,0,250,0,0
com.alibaba.json.bvt.serializer.JSONFieldTest5.test_jsonField,0,0,250,0,0
com.alibaba.json.bvt.serializer.JSONSerializerTest2.test_0,1,1,1,0,0
com.alibaba.json.bvt.serializer.MaxBufSizeTest.test_max_buf,0,0,250,0,0
com.github.kevinsawicki.http.HttpRequestTest.basicProxyAuthentication,0,559,703,533,26
com.github.kevinsawicki.http.HttpRequestTest.deleteWithEscapedMappedQueryParams,0,469,703,439,30
com.github.kevinsawicki.http.HttpRequestTest.deleteWithEscapedVarargsQueryParams,0,365,703,333,32
com.github.kevinsawicki.http.HttpRequestTest.deleteWithMappedQueryParams,0,306,703,221,85
com.github.kevinsawicki.http.HttpRequestTest.deleteWithVarargsQueryParams,0,541,703,507,34
com.github.kevinsawicki.http.HttpRequestTest.getUrlEncodedWithPercent,0,355,703,312,43
com.github.kevinsawicki.http.HttpRequestTest.getUrlEncodedWithSpace,0,492,703,461,31
com.github.kevinsawicki.http.HttpRequestTest.getUrlEncodedWithUnicode,0,311,703,248,63
com.github.kevinsawicki.http.HttpRequestTest.getWithEscapedMappedQueryParams,0,580,703,556,24
com.github.kevinsawicki.http.HttpRequestTest.getWithEscapedVarargsQueryParams,0,532,703,500,32
com.github.kevinsawicki.http.HttpRequestTest.getWithMappedQueryParams,0,467,703,438,29
com.github.kevinsawicki.http.HttpRequestTest.getWithVarargsQueryParams,0,506,703,482,24
com.github.kevinsawicki.http.HttpRequestTest.headWithEscapedMappedQueryParams,0,409,703,369,40
com.github.kevinsawicki.http.HttpRequestTest.headWithEscapedVarargsQueryParams,0,273,703,228,45
com.github.kevinsawicki.http.HttpRequestTest.headWithMappedQueryParams,0,423,703,394,29
com.github.kevinsawicki.http.HttpRequestTest.headWithVaragsQueryParams,0,529,703,498,31
com.github.kevinsawicki.http.HttpRequestTest.postWithEscapedMappedQueryParams,0,489,703,459,30
com.github.kevinsawicki.http.HttpRequestTest.postWithEscapedVarargsQueryParams,0,385,703,364,21
com.github.kevinsawicki.http.HttpRequestTest.postWithMappedQueryParams,0,535,703,509,26
com.github.kevinsawicki.http.HttpRequestTest.postWithNumericQueryParams,0,478,703,445,33
com.github.kevinsawicki.http.HttpRequestTest.postWithVaragsQueryParams,0,303,703,232,71
com.github.kevinsawicki.http.HttpRequestTest.putWithEscapedMappedQueryParams,0,325,703,278,47
com.github.kevinsawicki.http.HttpRequestTest.putWithEscapedVarargsQueryParams,0,505,703,485,20
com.github.kevinsawicki.http.HttpRequestTest.putWithMappedQueryParams,0,284,703,256,28
com.github.kevinsawicki.http.HttpRequestTest.putWithVarargsQueryParams,0,407,703,379,28
com.github.kevinsawicki.http.HttpRequestTest.singleSslSocketFactory,0,272,703,224,48
com.github.kevinsawicki.http.HttpRequestTest.singleVerifier,0,573,703,549,24
com.github.kevinsawicki.http.HttpRequestTest.verifierAccepts,0,399,703,374,25
io.dropwizard.logging.DefaultLoggingFactoryPrintErrorMessagesTest.testLogbackStatusPrinterPrintStreamIsRestoredToSystemOut,0,107,108,57,50
io.elasticjob.lite.internal.failover.FailoverServiceTest.assertGetLocalFailoverItemsIfShutdown,0,149,193,39,110
io.elasticjob.lite.internal.instance.ShutdownListenerManagerTest.assertIsShutdownAlready,0,158,193,77,81
io.elasticjob.lite.internal.instance.TriggerListenerManagerTest.assertTriggerWhenJobIsNotRunning,0,141,193,49,92
io.elasticjob.lite.internal.schedule.JobRegistryTest.assertGetCurrentShardingTotalCountIfNull,0,146,193,146,0
io.elasticjob.lite.internal.sharding.ShardingListenerManagerTest.assertListenServersChangedJobListenerWhenIsInstanceChangeButJobInstanceIsShutdown,0,148,193,70,78
io.elasticjob.lite.reg.zookeeper.ZookeeperRegistryCenterModifyTest.assertPersistEphemeralSequential,0,169,193,169,0
io.undertow.websockets.jsr.test.annotated.AnnotatedEndpointTest.testCloseReason,0,135,139,66,69
org.apache.dubbo.common.serialize.fst.FstObjectInputTest.testEmptyByteArrayForEmptyInput,0,135,135,112,23
org.apache.dubbo.registry.dubbo.RegistryProtocolTest.testDestoryRegistry,1,1,1,0,0
org.apache.dubbo.registry.dubbo.RegistryProtocolTest.testNotifyOverride,1,1,1,0,0
org.apache.dubbo.registry.dubbo.RegistryProtocolTest.testNotifyOverride_notmatch,1,1,1,0,0
org.apache.dubbo.rpc.cluster.StickyTest.testMethodStickyNoCheck,0,128,143,71,57
org.apache.dubbo.rpc.cluster.StickyTest.testStickyNoCheck,0,140,143,140,0
org.apache.dubbo.rpc.cluster.support.AbstractClusterInvokerTest.testBindingAttachment,0,116,143,78,38
org.apache.dubbo.rpc.cluster.support.ForkingClusterInvokerTest.testClearRpcContext,0,118,143,71,47
org.apache.dubbo.rpc.protocol.dubbo.telnet.ChangeTelnetHandlerTest.testChangeServiceNotExport,0,152,187,74,78
org.apache.dubbo.rpc.protocol.dubbo.telnet.PortTelnetHandlerTest.testListAllPort,0,155,187,104,51
org.apache.dubbo.rpc.protocol.dubbo.telnet.PortTelnetHandlerTest.testListDetail,0,144,187,103,41
org.apache.struts2.portlet.dispatcher.Jsr168DispatcherTest.testProcessAction_ok,0,143,163,70,73
org.apache.struts2.portlet.dispatcher.Jsr168DispatcherTest.testRender_ok,0,151,163,106,45
org.apache.struts2.portlet.dispatcher.Jsr286DispatcherTest.testProcessAction_ok,0,129,163,87,42
org.apache.struts2.portlet.dispatcher.Jsr286DispatcherTest.testRender_ok,0,139,163,84,55
org.jboss.as.naming.InitialContextFactoryTestCase.testInitialFactory,0,156,207,75,81
org.jboss.as.naming.InitialContextFactoryTestCase.testJavaContext,0,154,207,74,80
org.jboss.as.naming.InitialContextTestCase.testRegisterURLSchemeHandler,0,154,207,78,76
org.jboss.as.naming.NamingContextTestCase.testBind,0,152,207,84,68
org.jboss.as.naming.NamingContextTestCase.testBindReferenceable,0,137,207,78,59
org.jboss.as.naming.NamingContextTestCase.testCreateSubcontext,0,160,207,87,73
org.jboss.as.naming.NamingContextTestCase.testList,0,140,207,74,66
org.jboss.as.naming.NamingContextTestCase.testListBindings,0,155,207,86,69
org.jboss.as.naming.NamingContextTestCase.testListBindingsNameNotFound,0,153,207,81,72
org.jboss.as.naming.NamingContextTestCase.testListBindingsWithContinuation,0,154,207,93,61
org.jboss.as.naming.NamingContextTestCase.testListNameNotFound,0,139,207,74,65
org.jboss.as.naming.NamingContextTestCase.testListWithContinuation,0,155,207,95,60
org.jboss.as.naming.NamingContextTestCase.testLookup,0,155,207,97,58
org.jboss.as.naming.NamingContextTestCase.testLookupContextLink,0,134,207,82,52
org.jboss.as.naming.NamingContextTestCase.testLookupEmptyName,0,145,207,95,50
org.jboss.as.naming.NamingContextTestCase.testLookupLink,0,144,207,81,63
org.jboss.as.naming.NamingContextTestCase.testLookupNameNotFound,0,158,207,94,64
org.jboss.as.naming.NamingContextTestCase.testLookupReference,0,155,207,81,74
org.jboss.as.naming.NamingContextTestCase.testLookupWithContinuation,0,145,207,89,56
org.jboss.as.naming.NamingContextTestCase.testLookupWitResolveResult,0,150,207,79,71
org.jboss.as.naming.NamingContextTestCase.testRebind,0,142,207,88,54
org.jboss.as.naming.NamingContextTestCase.testRebindReferenceable,0,156,207,81,75
org.jboss.as.naming.NamingContextTestCase.testUnbind,0,135,207,84,51
org.jboss.as.naming.NamingEventCoordinatorTestCase.testFireAllEvent,0,155,207,101,54
org.jboss.as.naming.NamingEventCoordinatorTestCase.testFireMultiLevelEvent,0,157,207,103,54
org.jboss.as.naming.NamingEventCoordinatorTestCase.testFireObjectEvent,0,159,207,105,54
org.jboss.as.naming.NamingEventCoordinatorTestCase.testFireOneLevelEvent,0,152,207,98,54
org.jboss.as.naming.NamingEventCoordinatorTestCase.testFireSubTreeEvent,0,157,207,103,54
org.jboss.as.naming.ObjectFactoryTestCase.testBindAndRetrieveObjectFactoryFromInitialContext,0,181,207,97,84
org.jboss.as.naming.ObjectFactoryTestCase.testBindAndRetrieveObjectFactoryFromNamingContext,0,181,207,98,83
org.jboss.as.naming.ServiceBasedNamingStoreTestCase.testListBindings,0,146,207,57,89
org.jboss.as.naming.ServiceBasedNamingStoreTestCase.testLookupBinding,0,148,207,58,90
org.jboss.as.naming.ServiceBasedNamingStoreTestCase.testLookupBindingUsingNestedContext,0,144,207,56,88
org.jboss.as.naming.ServiceBasedNamingStoreTestCase.testStoredContext,0,142,207,55,87
org.jboss.as.naming.subsystem.NamingSubsystemTestCase.testCompositeBindingOps,0,171,207,110,61
