test_name,p_count,c_count,expected_fail
com.alibaba.json.bvt.bug.Issue_717.test_for_issue,2,0,0.6666666666666666666666666666
com.alibaba.json.bvt.serializer.JSONFieldTest5.test_jsonField,2,0,0.6666666666666666666666666666
com.alibaba.json.bvt.serializer.MaxBufSizeTest.test_max_buf,4,93,0.07142857142857142857142857144
com.github.kevinsawicki.http.HttpRequestTest.basicProxyAuthentication,1,1,0.3333333333333333333333333333
com.github.kevinsawicki.http.HttpRequestTest.deleteWithEscapedMappedQueryParams,1,1,0.3333333333333333333333333333
com.github.kevinsawicki.http.HttpRequestTest.deleteWithEscapedVarargsQueryParams,1,1,0.3333333333333333333333333333
com.github.kevinsawicki.http.HttpRequestTest.deleteWithMappedQueryParams,1,1,0.3333333333333333333333333333
com.github.kevinsawicki.http.HttpRequestTest.deleteWithVarargsQueryParams,1,1,0.3333333333333333333333333333
com.github.kevinsawicki.http.HttpRequestTest.getUrlEncodedWithPercent,1,1,0.3333333333333333333333333333
com.github.kevinsawicki.http.HttpRequestTest.getUrlEncodedWithSpace,1,1,0.3333333333333333333333333333
com.github.kevinsawicki.http.HttpRequestTest.getUrlEncodedWithUnicode,1,1,0.3333333333333333333333333333
com.github.kevinsawicki.http.HttpRequestTest.getWithEscapedMappedQueryParams,1,1,0.3333333333333333333333333333
com.github.kevinsawicki.http.HttpRequestTest.getWithEscapedVarargsQueryParams,1,1,0.3333333333333333333333333333
com.github.kevinsawicki.http.HttpRequestTest.getWithMappedQueryParams,1,1,0.3333333333333333333333333333
com.github.kevinsawicki.http.HttpRequestTest.getWithVarargsQueryParams,1,1,0.3333333333333333333333333333
com.github.kevinsawicki.http.HttpRequestTest.headWithEscapedMappedQueryParams,1,1,0.3333333333333333333333333333
com.github.kevinsawicki.http.HttpRequestTest.headWithEscapedVarargsQueryParams,1,1,0.3333333333333333333333333333
com.github.kevinsawicki.http.HttpRequestTest.headWithMappedQueryParams,1,1,0.3333333333333333333333333333
com.github.kevinsawicki.http.HttpRequestTest.headWithVaragsQueryParams,1,1,0.3333333333333333333333333333
com.github.kevinsawicki.http.HttpRequestTest.postWithEscapedMappedQueryParams,1,1,0.3333333333333333333333333333
com.github.kevinsawicki.http.HttpRequestTest.postWithEscapedVarargsQueryParams,1,1,0.3333333333333333333333333333
com.github.kevinsawicki.http.HttpRequestTest.postWithMappedQueryParams,1,1,0.3333333333333333333333333333
com.github.kevinsawicki.http.HttpRequestTest.postWithNumericQueryParams,1,1,0.3333333333333333333333333333
com.github.kevinsawicki.http.HttpRequestTest.postWithVaragsQueryParams,1,1,0.3333333333333333333333333333
com.github.kevinsawicki.http.HttpRequestTest.putWithEscapedMappedQueryParams,1,1,0.3333333333333333333333333333
com.github.kevinsawicki.http.HttpRequestTest.putWithEscapedVarargsQueryParams,1,1,0.3333333333333333333333333333
com.github.kevinsawicki.http.HttpRequestTest.putWithMappedQueryParams,1,1,0.3333333333333333333333333333
com.github.kevinsawicki.http.HttpRequestTest.putWithVarargsQueryParams,1,1,0.3333333333333333333333333333
com.github.kevinsawicki.http.HttpRequestTest.singleSslSocketFactory,1,1,0.3333333333333333333333333333
com.github.kevinsawicki.http.HttpRequestTest.singleVerifier,1,1,0.3333333333333333333333333333
com.github.kevinsawicki.http.HttpRequestTest.verifierAccepts,1,1,0.3333333333333333333333333333
io.dropwizard.logging.DefaultLoggingFactoryPrintErrorMessagesTest.testLogbackStatusPrinterPrintStreamIsRestoredToSystemOut,2,8,0.05555555555555555555555555556
io.elasticjob.lite.internal.failover.FailoverServiceTest.assertGetLocalFailoverItemsIfShutdown,4,41,0.01333333333333333333333333333
io.elasticjob.lite.internal.instance.ShutdownListenerManagerTest.assertIsShutdownAlready,1,43,0.01041666666666666666666666667
io.elasticjob.lite.internal.instance.TriggerListenerManagerTest.assertTriggerWhenJobIsNotRunning,3,43,0.01388888888888888888888888889
io.elasticjob.lite.internal.schedule.JobRegistryTest.assertGetCurrentShardingTotalCountIfNull,1,11,0.5
io.elasticjob.lite.internal.sharding.ShardingListenerManagerTest.assertListenServersChangedJobListenerWhenIsInstanceChangeButJobInstanceIsShutdown,1,41,0.01388888888888888888888888889
io.elasticjob.lite.reg.zookeeper.ZookeeperRegistryCenterModifyTest.assertPersistEphemeralSequential,1,0,0.5
io.undertow.websockets.jsr.test.annotated.AnnotatedEndpointTest.testCloseReason,4,3,0.35
org.apache.dubbo.common.serialize.fst.FstObjectInputTest.testEmptyByteArrayForEmptyInput,13,2,0.7142857142857142857142857143
