commit_sha,subject_name
b11f757a48600e53aaf3fcb7a3ba1ece6c463cb4,Activiti/Activiti
737f7a7ea67832d7f17517326fb2491d0a086dd7,apache/incubator-dubbo
13d9053050c9e4fb2ef049db6a37d3f6eebf48fa,Apache/Struts
574b74fa64e4c95bda00ff41d06d358684a0b2e6,apereo/java-cas-client
b483e1a8f261b80a66291a42fc455256b0b5059c,ctco/cukes
e3099bdce342910951c4862c78751fd81ed4552e,doanduyhai/Achilles
07dfaed697427e208d65049f80a5d1949833b7cd,dropwizard/dropwizard
d86e0cb0a4f26ba89daf8668137c156e57fea565,eclipse-ee4j/tyrus
b022898ef1b8c984e17efb2a422ee45f6b13e46e,elasticjob/elastic-job-lite
b3bcf9c958d51b3b3f8fdd0ccc26923d5a531da1,feroult/yawp
a64c18d9c4bac8271275c7b089d40be20f0604b5,fhoeben/hsac-fitnesse-fixtures
da14ec349bf0904da9865940b57b87563616ee04,fluent/fluent-logger-java
dd11b97654982403b50dd1d5369cadad71fce410,hexagonframework/spring-data-ebean
da35edc0a75424bad8cbf60959fae253202154c4,javadelight/delight-nashorn-sandbox
520a4be69ba932061ab9b89f328842caf152e1d9,jfree/jfreechart
00db36611da5fc7aaf9d5372aa90f2465d80c0c4,jhipster/jhipster-registry
4a8a28e60640dcd03e8d3bf212f483d35b0b6310,kagkarlsson/db-scheduler
2d62a3e9da726942a93cf16b6e91c0187e6c0136,kevinsawicki/http-request
af0003847db9ba822f67d4f1dceb8de3fe63250a,ktuukkan/marine-api
60a9e8de0d97bfa4e3f7ee6bb87d518e398f03f2,sonatype-nexus-community/nexus-repository-helm
d53a49421f385c70b5abe7e8cda84ff3a7b59c71,spinn3r/noxy
aebf68dcbdf9d3850478e8bddd2c478fa5fa282a,spotify/helios
daa3d457b71896a758995c264977bdd1414ee4d4,spring-projects/spring-boot
7b0c4c708b6bb9a6da3d5737bcad1857ade8a931,tbsalling/aismessages
367da7d262e682a08577cdf19ebbbdd8a46870fe,tools4j/unix4j
fa3909c391195178ccf5a92d4ac342a30ae247c8,TooTallNate/Java-WebSocket
d0efffad5d2034bb07525cac9b299dac72c3045d,undertow-io/undertow
f1fd59e23610312cf0ec6756ea01baaf56cdb74e,visallo/vertexium
b19048b72669fc0e96665b1b125dc1fda21f5993,wildfly/wildfly
185ab607f1d649ca38b4a772831ee754cd4649fb,wro4j/wro4j
ced6093fe69a31e37ba8bbf63858b50c7164f4a4,google/jimfs
e493c2e279b8820c0fdc2c79ab760d6759eb5a4a,logzio/sawmill
